Timestamp_ms,Label,Trial_ID,Phase,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
4601.5729904174805,Left,1,Perform,-3.918212890625,14.509765625,-16.194091796875,4.5845947265625,-7.7813720703125,-20.524658203125,-15.7181396484375,3.2672119140625
4603.5729904174805,Left,1,Perform,8.081787109375,-19.490234375,10.805908203125,-17.4154052734375,-16.7813720703125,-18.524658203125,-53.7181396484375,-18.7327880859375
4605.5729904174805,Left,1,Perform,26.081787109375,15.509765625,4.805908203125,-9.4154052734375,-10.7813720703125,5.475341796875,-5.7181396484375,-2.7327880859375
4607.5729904174805,Left,1,Perform,-21.918212890625,-3.490234375,0.805908203125,16.5845947265625,17.2186279296875,5.475341796875,-109.7181396484375,-51.7327880859375
4609.5729904174805,Left,1,Perform,8.081787109375,15.509765625,8.805908203125,-17.4154052734375,7.2186279296875,7.475341796875,36.2818603515625,55.2672119140625
4611.5729904174805,Left,1,Perform,25.081787109375,-3.490234375,-9.194091796875,-31.4154052734375,3.2186279296875,-18.524658203125,-77.7181396484375,-55.7327880859375
4613.5729904174805,Left,1,Perform,-9.918212890625,-20.490234375,-7.194091796875,-9.4154052734375,-7.7813720703125,1.475341796875,42.2818603515625,7.2672119140625
4615.5729904174805,Left,1,Perform,30.081787109375,5.509765625,10.805908203125,2.5845947265625,-10.7813720703125,-6.524658203125,-61.7181396484375,-8.7327880859375
4617.5729904174805,Left,1,Perform,50.081787109375,16.509765625,-1.194091796875,14.5845947265625,-2.7813720703125,1.475341796875,-19.7181396484375,-0.7327880859375
4619.5729904174805,Left,1,Perform,4.081787109375,11.509765625,-8.194091796875,-9.4154052734375,3.2186279296875,7.475341796875,6.2818603515625,8.2672119140625
4621.5729904174805,Left,1,Perform,-25.918212890625,5.509765625,-7.194091796875,-2.4154052734375,-0.7813720703125,7.475341796875,38.2818603515625,7.2672119140625
4623.5729904174805,Left,1,Perform,-5.918212890625,9.509765625,10.805908203125,10.5845947265625,-0.7813720703125,-9.524658203125,-5.7181396484375,21.2672119140625
4625.5729904174805,Left,1,Perform,-1.918212890625,29.509765625,-1.194091796875,16.5845947265625,-6.7813720703125,0.475341796875,4.2818603515625,-16.7327880859375
4627.5729904174805,Left,1,Perform,-1.918212890625,15.509765625,-3.194091796875,12.5845947265625,3.2186279296875,15.475341796875,4.2818603515625,31.2672119140625
4629.5729904174805,Left,1,Perform,20.081787109375,7.509765625,-0.194091796875,4.5845947265625,9.2186279296875,5.475341796875,-11.7181396484375,24.2672119140625
