participant_id,block_number,difficulty,trial_number,target_id,target_index,target_width,target_distance,target_center_x,target_center_y,trial_start,trial_end,movement_time_s,misses_before_success
p1,1,Medium,1,p1-block-1-trial-1-target-1,1,60,400,861,309,1786007900.373285,1786007907.439135,7.066151124949101,0
p1,1,Medium,2,p1-block-1-trial-2-target-5,5,60,400,579,591,1786007907.440075,1786007908.755371,1.3153530840063468,0
p1,1,Medium,3,p1-block-1-trial-3-target-1,1,60,400,861,309,1786007908.755787,1786007917.9880478,9.232650165969972,0
p1,1,Medium,4,p1-block-1-trial-4-target-5,5,60,400,579,591,1786007917.988945,1786007919.1371331,1.1482370420126244,0
p1,1,Medium,5,p1-block-1-trial-5-target-1,1,60,400,861,309,1786007919.137318,1786007920.506433,1.3691733749583364,0
p1,1,Medium,6,p1-block-1-trial-6-target-5,5,60,400,579,591,1786007920.50677,1786007923.053914,2.547256375022698,1
p1,1,Medium,7,p1-block-1-trial-7-target-1,1,60,400,861,309,1786007923.054202,1786007924.4212632,1.3671193330083042,0
p1,1,Medium,8,p1-block-1-trial-8-target-5,5,60,400,579,591,1786007924.421566,1786007925.6706371,1.2491243340191431,0
p1,1,Medium,9,p1-block-1-trial-9-target-1,1,60,400,861,309,1786007925.6708171,1786007926.9548311,1.2840698750223964,0
p1,1,Medium,10,p1-block-1-trial-10-target-5,5,60,400,579,591,1786007926.955193,1786007927.9217029,0.966552083962597,0
p1,1,Medium,11,p1-block-1-trial-11-target-1,1,60,400,861,309,1786007927.9220421,1786007929.1710389,1.249049499980174,0
p1,1,Medium,12,p1-block-1-trial-12-target-5,5,60,400,579,591,1786007929.171149,1786007930.088432,0.9173237920040265,0
p1,1,Medium,13,p1-block-1-trial-13-target-1,1,60,400,861,309,1786007930.088798,1786007931.1223192,1.0335694160312414,0
p1,1,Medium,14,p1-block-1-trial-14-target-5,5,60,400,579,591,1786007931.1226811,1786007932.054805,0.9321648750337772,0
p1,1,Medium,15,p1-block-1-trial-15-target-1,1,60,400,861,309,1786007932.055171,1786007933.25471,1.1995897910092026,0
p1,1,Medium,16,p1-block-1-trial-16-target-5,5,60,400,579,591,1786007933.254994,1786007934.137408,0.8824513329891488,0
p1,2,Easy,1,p1-block-2-trial-1-target-6,6,75,300,570,450,1786007934.137696,1786007935.50464,1.3670024590101093,0
p1,2,Easy,2,p1-block-2-trial-2-target-2,2,75,300,870,450,1786007935.504972,1786007936.5205781,1.0156495419796556,0
p1,2,Easy,3,p1-block-2-trial-3-target-6,6,75,300,570,450,1786007936.520844,1786007937.620824,1.1000279170111753,0
p1,2,Easy,4,p1-block-2-trial-4-target-2,2,75,300,870,450,1786007937.621131,1786007938.420798,0.799701333977282,0
p1,2,Easy,5,p1-block-2-trial-5-target-6,6,75,300,570,450,1786007938.421003,1786007939.4224331,1.0014741670456715,0
p1,2,Easy,6,p1-block-2-trial-6-target-2,2,75,300,870,450,1786007939.422783,1786007940.2713978,0.8486523750470951,0
p1,2,Easy,7,p1-block-2-trial-7-target-6,6,75,300,570,450,1786007940.271693,1786007941.08833,0.816672540968284,0
p1,2,Easy,8,p1-block-2-trial-8-target-2,2,75,300,870,450,1786007941.088656,1786007941.920362,0.8317425419809297,0
p1,2,Easy,9,p1-block-2-trial-9-target-6,6,75,300,570,450,1786007941.9205408,1786007942.903769,0.9832744169980288,0
p1,2,Easy,10,p1-block-2-trial-10-target-2,2,75,300,870,450,1786007942.904053,1786007943.987221,1.083214875019621,0
p1,2,Easy,11,p1-block-2-trial-11-target-6,6,75,300,570,450,1786007943.98754,1786007944.820873,0.8333694169996306,0
p1,2,Easy,12,p1-block-2-trial-12-target-2,2,75,300,870,450,1786007944.821226,1786007945.787195,0.9660102500347421,0
p1,2,Easy,13,p1-block-2-trial-13-target-6,6,75,300,570,450,1786007945.7874382,1786007946.687381,0.8999868329847232,0
p1,2,Easy,14,p1-block-2-trial-14-target-2,2,75,300,870,450,1786007946.687669,1786007947.953747,1.266132332966663,0
