actual/predicted,Down,Left,Rest,Right,Up,fist_close
Down,50,0,7,0,0,0
Left,107,117,112,0,2,3
Rest,69,3,519,10,10,4
Right,4,0,14,88,7,0
Up,0,0,6,0,51,0
fist_close,3,0,29,0,0,82
