participant_id,difficulty,target_width,target_distance,trial_count,Movement Time (MT) s,Effective Distance (De) px,Effective Width (We) px,Effective Index of Difficulty (IDe) bits,Throughput (TP) bits/s,Path Efficiency,Target Re-entry Rate,Overshoot Count,Direction Reversal Count,Time to First Movement s,Click Error Rate
mac_trackPad,Medium,60.0,400.0,16,0.9897102343857114,389.81565853579707,39.17023565411306,3.453100497255579,3.489001504969617,0.9586747128261363,0.0625,1.0,13.0,0.1346280574798584,0.058823529411764705
mac_trackPad,Easy,75.0,300.0,16,0.6737724634440383,285.9113956362939,64.15702501677829,2.4479577732637865,3.63321136745611,0.9954402041196945,0.0,0.0,1.0,0.14926683108011882,0.0
mac_trackPad,Hard,45.0,500.0,16,0.9975056354305707,502.48495186599877,34.80114424603521,3.948483857336958,3.958357443898154,0.9117264552408784,0.0625,5.0,9.0,0.13359991709391275,0.0
