controller_mode,session_dir,participant_id,difficulty,target_width,target_distance,trial_count,Movement Time (MT) s,Effective Distance (De) px,Effective Width (We) px,Effective Index of Difficulty (IDe) bits,Throughput (TP) bits/s,Path Efficiency,Target Re-entry Rate,Overshoot Count,Direction Reversal Count,Time to First Movement s,Click Error Rate
Standard mouse,experiment_results/p1/standard_mouse/20260801_133451,p1,Medium,60.0,400.0,16,0.8636274558139121,392.075311560101,49.19386869337237,3.1651085673434056,3.6649003526184782,0.9106789516911078,0.125,3.0,26.0,0.0832809448242187,0.0588235294117647
Standard mouse,experiment_results/p1/standard_mouse/20260801_133451,p1,Easy,75.0,300.0,16,0.7437854298714228,288.76004684469547,62.82399003661339,2.484482090148868,3.3403209989988065,0.9521027402617286,0.0625,1.0,27.0,0.0827774365743001,0.0588235294117647
Standard mouse,experiment_results/p1/standard_mouse/20260801_133451,p1,Hard,45.0,500.0,16,1.0174892864979483,495.383143449861,36.8898898966565,3.8508690883573298,3.7846777744574265,0.8906859288524759,0.25,4.0,26.0,0.0737450917561848,0.1111111111111111
Standard mouse,experiment_results/p1/standard_mouse/20260806_151743,p1,Medium,60.0,400.0,2,1.3830486249935348,390.53040854714504,,,,0.9698171431515494,0.0,0.0,2.0,0.0168309211730957,0.0
Standard mouse,experiment_results/p1/standard_mouse/20260806_151820,p1,Medium,60.0,400.0,16,2.109989718748693,405.8864643933363,40.481010352753515,3.462914703435407,1.6411997995369625,0.8092036389831375,0.125,6.0,61.0,0.130088996887207,0.0588235294117647
Standard mouse,experiment_results/p1/standard_mouse/20260806_151820,p1,Easy,75.0,300.0,16,1.01642959912715,298.0686354348623,50.63446374817719,2.7838076088146115,2.7388100574847303,0.9423574581944604,0.0625,1.0,75.0,0.1477589925130208,0.0
Standard mouse,experiment_results/p1/standard_mouse/20260806_151820,p1,Hard,45.0,500.0,16,1.5309778673108667,491.8653560399317,31.246581275355183,4.065349435832419,2.655393995324784,0.8716174856900185,0.0625,2.0,79.0,0.4497710069020589,0.0
