participant_id,difficulty,target_width,target_distance,trial_count,Movement Time (MT) s,Effective Distance (De) px,Effective Width (We) px,Effective Index of Difficulty (IDe) bits,Throughput (TP) bits/s,Path Efficiency,Target Re-entry Rate,Overshoot Count,Direction Reversal Count,Time to First Movement s,Click Error Rate
p1,Medium,60.0,400.0,16,1.0990752500638337,,,,,,0.0,,,,0.0
p02,Medium,60.0,400.0,16,1.477224536378344,409.20783932983755,54.44696158989514,3.0901276466264695,2.0918469538844917,0.9051915983903353,0.3125,4.0,29.0,0.27284757296244305,0.0
p1,Hard,45.0,500.0,16,1.0388064870621747,,,,,,0.0,,,,0.058823529411764705
p02,Hard,45.0,500.0,16,2.0641621277500235,505.7627655038672,40.0515979828195,3.7684786509489068,1.8256698930217372,0.821399705457029,0.3125,4.0,40.0,0.21203730901082357,0.15789473684210525
p1,Easy,75.0,300.0,16,0.8605025259366812,,,,,,0.0,,,,0.058823529411764705
p02,Easy,75.0,300.0,16,1.1279724636278843,295.21107074436105,71.48897562897999,2.3588077634725,2.091192683805325,0.8057429554364189,0.25,5.0,32.0,0.1019723097483317,0.058823529411764705
