participant_id,difficulty,target_width,target_distance,trial_count,Movement Time (MT) s,Effective Distance (De) px,Effective Width (We) px,Effective Index of Difficulty (IDe) bits,Throughput (TP) bits/s,Path Efficiency,Target Re-entry Rate,Overshoot Count,Direction Reversal Count,Time to First Movement s,Click Error Rate
p1,Medium,60.0,400.0,16,2.109989718748693,405.8864643933363,40.481010352753515,3.462914703435407,1.6411997995369625,0.8092036389831375,0.125,6.0,61.0,0.13008899688720704,0.058823529411764705
p1,Easy,75.0,300.0,16,1.0164295991271501,298.0686354348623,50.63446374817719,2.7838076088146115,2.7388100574847303,0.9423574581944604,0.0625,1.0,75.0,0.14775899251302083,0.0
p1,Hard,45.0,500.0,16,1.5309778673108667,491.8653560399317,31.246581275355183,4.065349435832419,2.655393995324784,0.8716174856900185,0.0625,2.0,79.0,0.4497710069020589,0.0
